Country,Population density (inhab/km2),GDP per capita (current US$/inhab),Long-term average annual precipitation in depth (mm/year),Total internal renewable water resources per capita (m3/inhab/yr),Water resources: total external renewable (10^9 m3/yr),Total renewable water resources per capita (m3/inhab/yr),Dam capacity per capita (m3/inhab),Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),Environmental Flow Requirements (10^9 m3/year),SDG 6.4.2. Water Stress (%),SDG 6.4.1. Water Use Efficiency (US$/m3),SDG 6.4.1. Irrigated Agriculture Water Use Efficiency (US$/m3),SDG 6.4.1. Industrial Water Use Efficiency (US$/m3),SDG 6.4.1. Services Water Use Efficiency (US$/m3),Irrigated cropping intensity (%),Flood occurrence (WRI)
Nepal,190.8935589,939.453255,1500,7054.456776,12,7481.568185,3.036050267,338.0266471,95.94,8.311832662,2.232012969,0.601197842,100.6308088,85.54117631,163.4417808,4.5
Netherlands,456.2599626,53505.05087,778,644.7997486,80,5334.252466,541.2800799,474.730884,41.57,16.38417965,90.06718257,18.19409706,23.46897392,298.4412609,100,2.5
New Zealand,17.71742184,43776.46571,1732,68941.80237,0,68941.80237,3560.454055,1037.200385,204.3,8.04808476,36.99581314,3.860530818,29.45880754,254.9178947,100,1.7
Nicaragua,49.59347242,2087.250028,2280,24160.54069,8.31,25445.82392,4950.190248,238.8987334,107.2,2.692428472,6.783497616,0.212291582,39.75337551,25.5257918,100,3.6
Niger,17.71335596,574.639399,151,155.9518674,30.55,1517.188881,4.172559048,78.01603559,10.61,7.453924915,3.666555733,0.004792857,52.55974886,25.2669628,100,3.4
Nigeria,212.0383678,2153.520403,1150,1128.272407,65.2,1461.138293,258.6691359,63.68867997,157.2,9.668217054,31.26515234,0.227130815,63.3832477,52.84664057,169.7744361,3.1
Niue,6.230769231,,,,0,0,,,,,,,,,,
North Macedonia,81.01738623,6056.855579,619,2592.468303,1,3072.555026,1099.350587,413.0797176,2.268,25.26621491,10.11183884,0.644790963,9.582348593,20.70870777,94.32666114,3.3
Norway,13.85736454,81101.65805,1414,71562.89235,11,73623.60391,6234.570422,504.16245,261.5,2.046463878,120.8238747,1.037473271,109.7616123,266.6451228,282.7763496,1.3
Oman,15.60411309,19070.91177,125,289.8867019,0,289.8867019,18.30013337,387.8269948,,116.7142857,46.6246606,1.220495836,171.787562,506.3004827,116.6608696,1.9
Pakistan,266.5849592,1406.00688,494,259.1548989,191.8,1162.89871,131.0297934,864.3993855,83.79,118.2381449,1.520812094,0.318541334,36.76787859,17.88615778,115.3953739,3.9
Palau,38.92826087,12930.01616,,,0,0,,,,,,,,,,
Palestine,807.8038206,3221.318341,402,166.9758393,0.025,172.116721,0,80.09493769,0.1359,42.74711168,34.08134927,5.111318101,87.62158593,52.58381697,516.2364696,3
Panama,55.45497876,15628.40512,2928,32703.92248,2.704,33351.29735,2187.547658,290.0258543,4.864,0.90107111,48.5381843,0.288737401,2765.180436,54.70456067,139.0168015,2.8
Papua New Guinea,18.5945964,2741.30003,3142,93071.10598,0,93071.10598,0,45.55952641,504.5,0.132242833,,,37.83892998,49.37994294,,1.6
Paraguay,17.10149182,5844.278424,1130,16819.85191,270.77,55745.58953,4820.109527,346.8914757,256.3,1.835399711,14.08881927,0.156403024,68.66138317,63.88334626,100,3.3
Peru,24.89010442,6827.188847,1738,51298.46705,238.8,58763.47249,180.4616925,500.1678688,1343,6.544895678,11.66140908,0.595330917,723.4579825,115.4816787,142.6438053,2.8
